"Gene_name" "P_values" "Adjusted_value" "is_significant"
"10286" "C15orf56" 1.811263e-12 8.50952373809524e-11 TRUE
"10359" "RIMBP3C" 1.217958e-12 8.50952373809524e-11 TRUE
"10371" "PFN2" 1.453614e-12 8.50952373809524e-11 TRUE
"10388" "PHYHD1" 1.587485e-12 8.50952373809524e-11 TRUE
"10395" "PEG3" 8.930507e-13 8.50952373809524e-11 TRUE
"10403" "AP5M1" 1.892519e-12 8.50952373809524e-11 TRUE
"10430" "AFAP1L2" 1.21825e-12 8.50952373809524e-11 TRUE
"10440" "FBXO2" 1.658885e-12 8.50952373809524e-11 TRUE
"10533" "ANAPC13" 1.165376e-12 8.50952373809524e-11 TRUE
"10534" "DNASE1" 1.390896e-12 8.50952373809524e-11 TRUE
"10574" "NUDT4" 1.273322e-12 8.50952373809524e-11 TRUE
"10598" "CNTD1" 8.930507e-13 8.50952373809524e-11 TRUE
"10610" "TJP3" 1.811263e-12 8.50952373809524e-11 TRUE
"10641" "KXD1" 1.977347e-12 8.50952373809524e-11 TRUE
"10692" "ADAP1" 7.813398e-13 8.50952373809524e-11 TRUE
"10723" "NDST3" 1.272713e-12 8.50952373809524e-11 TRUE
"10770" "USP46" 2.158345e-12 8.50952373809524e-11 TRUE
"10788" "COL9A2" 1.330836e-12 8.50952373809524e-11 TRUE
"10815" "PPP1R42" 1.330518e-12 8.50952373809524e-11 TRUE
"10847" "DAZAP2" 2.570428e-12 8.50952373809524e-11 TRUE
"10860" "CD276" 1.453614e-12 8.50952373809524e-11 TRUE
"10871" "SOD3" 2.158345e-12 8.50952373809524e-11 TRUE
"10874" "ATP1A1" 1.519103e-12 8.50952373809524e-11 TRUE
"10896" "CLCNKA" 8.930507e-13 8.50952373809524e-11 TRUE
"10916" "VEGFA" 1.587485e-12 8.50952373809524e-11 TRUE
"10922" "AQP2" 8.167619e-13 8.50952373809524e-11 TRUE
"10940" "CARS" 1.165516e-12 8.50952373809524e-11 TRUE
"10968" "PDP2" 1.273322e-12 8.50952373809524e-11 TRUE
"11008" "TMEM45B" 1.020396e-12 8.50952373809524e-11 TRUE
"11055" "LEPRE1" 1.45344e-12 8.50952373809524e-11 TRUE
"11072" "LEMD2" 1.658885e-12 8.50952373809524e-11 TRUE
"11126" "PTPN6" 2.158345e-12 8.50952373809524e-11 TRUE
"11132" "GATA2" 1.519103e-12 8.50952373809524e-11 TRUE
"11191" "SLC7A8" 2.570428e-12 8.50952373809524e-11 TRUE
"11217" "SLC13A2" 1.892519e-12 8.50952373809524e-11 TRUE
"11237" "EPB41L5" 2.460697e-12 8.50952373809524e-11 TRUE
"11239" "TAPBP" 2.355564e-12 8.50952373809524e-11 TRUE
"11263" "LGALS9" 1.658885e-12 8.50952373809524e-11 TRUE
"11287" "OVOL1" 9.335488e-13 8.50952373809524e-11 TRUE
"11348" "ADPGK" 1.115025e-12 8.50952373809524e-11 TRUE
"11357" "SLC52A3" 1.977347e-12 8.50952373809524e-11 TRUE
"11380" "MMP14" 1.501765e-12 8.50952373809524e-11 TRUE
"11451" "CYSTM1" 1.811263e-12 8.50952373809524e-11 TRUE
"11470" "GIT1" 2.571223e-12 8.50952373809524e-11 TRUE
"11472" "SUSD4" 2.570428e-12 8.50952373809524e-11 TRUE
"11521" "NKIRAS1" 2.460697e-12 8.50952373809524e-11 TRUE
"11540" "MLKL" 1.27317e-12 8.50952373809524e-11 TRUE
"11554" "CNKSR1" 2.570428e-12 8.50952373809524e-11 TRUE
"11602" "SLFN13" 1.020396e-12 8.50952373809524e-11 TRUE
"11626" "SLC15A2" 9.760842e-13 8.50952373809524e-11 TRUE
"11672" "CLUL1" 1.21825e-12 8.50952373809524e-11 TRUE
"11784" "AIF1L" 2.158345e-12 8.50952373809524e-11 TRUE
"11859" "SOX11" 2.150338e-12 8.50952373809524e-11 TRUE
"11911" "CDK18" 2.065902e-12 8.50952373809524e-11 TRUE
"11927" "PHF21B" 1.452574e-12 8.50952373809524e-11 TRUE
"11959" "SLC25A33" 8.541746e-13 8.50952373809524e-11 TRUE
"11970" "CAPS" 1.115025e-12 8.50952373809524e-11 TRUE
"11973" "VAV3" 2.065902e-12 8.50952373809524e-11 TRUE
"12014" "ALDH1A2" 1.811263e-12 8.50952373809524e-11 TRUE
"12079" "PNP" 1.020396e-12 8.50952373809524e-11 TRUE
"12103" "STAMBPL1" 1.519103e-12 8.50952373809524e-11 TRUE
"12156" "GRAMD1A" 9.760842e-13 8.50952373809524e-11 TRUE
"12183" "RS1" 2.570128e-12 8.50952373809524e-11 TRUE
"12184" "PIK3R6" 1.519103e-12 8.50952373809524e-11 TRUE
"12261" "ADAP2" 2.570428e-12 8.50952373809524e-11 TRUE
"12291" "OMA1" 2.570428e-12 8.50952373809524e-11 TRUE
"12354" "C14orf142" 1.066681e-12 8.50952373809524e-11 TRUE
